Company Name,NSE,NSE CODE
Trident Ltd.,TRIDENT.NS,TRIDENT
Crompton Greaves Consumer Electricals Ltd.,CROMPTON.NS,CROMPTON
Escorts Ltd.,ESCORTS.NS,ESCORTS
Schaeffler India Ltd.,SCHAEFFLER.NS,SCHAEFFLER
Ipca Laboratories Ltd.,IPCALAB.NS,IPCALAB
Clean Science And Technology Ltd.,CLEAN.NS,CLEAN
Torrent Power Ltd.,TORNTPOWER.NS,TORNTPOWER
JK Cement Ltd.,JKCEMENT.NS,JKCEMENT
Atul Ltd.,ATUL.NS,ATUL
REC Ltd.,RECLTD.NS,RECLTD
Gujarat Fluorochemicals Ltd.,FLUOROCHEM.NS,FLUOROCHEM
Cummins India Ltd.,CUMMINSIND.NS,CUMMINSIND
CG Power and Industrial Solutions Ltd.,CGPOWER.NS,CGPOWER
ICICI Securities Ltd.,ISEC.NS,ISEC
Ruchi Soya Industries Ltd.,RUCHI.NS,RUCHI
Aditya Birla Fashion and Retail Ltd.,ABFRL.NS,ABFRL
Sundaram Finance Ltd.,SUNDARMFIN.NS,SUNDARMFIN
APL Apollo Tubes Ltd.,APLAPOLLO.NS,APLAPOLLO
Tanla Platforms Ltd.,TANLA.NS,TANLA
The Indian Hotels Company Ltd.,INDHOTEL.NS,INDHOTEL
Syngene International Ltd.,SYNGENE.NS,SYNGENE
General Insurance Corporation of India,GICRE.NS,GICRE
The Ramco Cements Ltd.,RAMCOCEM.NS,RAMCOCEM
Bata India Ltd.,BATAINDIA.NS,BATAINDIA
Emami Ltd.,EMAMILTD.NS,EMAMILTD
Tata Chemicals Ltd.,TATACHEM.NS,TATACHEM
Pfizer Ltd.,PFIZER.NS,PFIZER
K.P.R. Mill Ltd.,KPRMILL.NS,KPRMILL
Indian Energy Exchange Ltd.,IEX.NS,IEX
The New India Assurance Company Ltd.,NIACL.NS,NIACL
Endurance Technologies Ltd.,ENDURANCE.NS,ENDURANCE
Whirlpool Of India Ltd.,WHIRLPOOL.NS,WHIRLPOOL
Rajesh Exports Ltd.,RAJESHEXPO.NS,RAJESHEXPO
Coromandel International Ltd.,COROMANDEL.NS,COROMANDEL
Bayer CropScience Ltd.,BAYERCROP.NS,BAYERCROP
Godrej Industries Ltd.,GODREJIND.NS,GODREJIND
CRISIL Ltd.,CRISIL.NS,CRISIL
Nippon Life India Asset Management Ltd.,NAM-INDIA.NS,NAM-INDIA
Solar Industries India Ltd.,SOLARINDS.NS,SOLARINDS
Fortis Healthcare Ltd.,FORTIS.NS,FORTIS
Thermax Ltd.,THERMAX.NS,THERMAX
Linde India Ltd.,LINDEINDIA.NS,LINDEINDIA
Navin Fluorine International Ltd.,NAVINFLUOR.NS,NAVINFLUOR
National Standard (India) Ltd.,.NS,
Devyani International Ltd.,DEVYANI.NS,DEVYANI
Grindwell Norton Ltd.,GRINDWELL.NS,GRINDWELL
LIC Housing Finance Ltd.,LICHSGFIN.NS,LICHSGFIN
Bharat Heavy Electricals Ltd.,BHEL.NS,BHEL
Oil India Ltd.,OIL.NS,OIL
Vinati Organics Ltd.,VINATIORGA.NS,VINATIORGA
Brightcom Group Ltd.,BCG.NS,BCG
Aavas Financiers Ltd.,AAVAS.NS,AAVAS
Indiamart Intermesh Ltd.,INDIAMART.NS,INDIAMART
Ajanta Pharma Ltd.,AJANTPHARM.NS,AJANTPHARM
Kajaria Ceramics Ltd.,KAJARIACER.NS,KAJARIACER
Sun TV Network Ltd.,SUNTV.NS,SUNTV
L&T Finance Holdings Ltd.,L&TFH.NS,L&TFH
Sumitomo Chemical India Ltd.,SUMICHEM.NS,SUMICHEM
Happiest Minds Technologies Ltd.,HAPPSTMNDS.NS,HAPPSTMNDS
Prestige Estates Projects Ltd.,PRESTIGE.NS,PRESTIGE
Central Bank Of India,CENTRALBK.NS,CENTRALBK
SKF India Ltd.,SKFINDIA.NS,SKFINDIA
National Aluminium Company Ltd.,NATIONALUM.NS,NATIONALUM
Sundram Fasteners Ltd.,SUNDRMFAST.NS,SUNDRMFAST
Mahindra & Mahindra Financial Services Ltd.,M&MFIN.NS,M&MFIN
Sanofi India Ltd.,SANOFI.NS,SANOFI
The Phoenix Mills Ltd.,PHOENIXLTD.NS,PHOENIXLTD
Metropolis Healthcare Ltd.,METROPOLIS.NS,METROPOLIS
Indian Bank,INDIANB.NS,INDIANB
Carborundum Universal Ltd.,CARBORUNIV.NS,CARBORUNIV
Nuvoco Vistas Corporation Ltd.,NUVOCO.NS,NUVOCO
The Federal Bank Ltd.,FEDERALBNK.NS,FEDERALBNK
Gillette India Ltd.,GILLETTE.NS,GILLETTE
AIA Engineering Ltd.,AIAENG.NS,AIAENG
Alkyl Amines Chemicals Ltd.,ALKYLAMINE.NS,ALKYLAMINE
Gujarat State Petronet Ltd.,GSPL.NS,GSPL
Aptus Value Housing Finance India Ltd.,APTUS.NS,APTUS
Natco Pharma Ltd.,NATCOPHARM.NS,NATCOPHARM
KIOCL Ltd.,KIOCL.NS,KIOCL
Chambal Fertilisers and Chemicals Ltd.,CHAMBLFERT.NS,CHAMBLFERT
GR Infraprojects Ltd.,GRINFRA.NS,GRINFRA
KPIT Technologies Ltd.,KPITTECH.NS,KPITTECH
Wabco India Ltd.,WABCOINDIA.NS,WABCOINDIA
Radico Khaitan Ltd.,RADICO.NS,RADICO
Alembic Pharmaceuticals Ltd.,APLLTD.NS,APLLTD
Central Depository Services (India) Ltd.,CDSL.NS,CDSL
UCO Bank,UCOBANK.NS,UCOBANK
Timken India Ltd.,TIMKEN.NS,TIMKEN
Poonawalla Fincorp Ltd.,POONAWALLA.NS,POONAWALLA
Bajaj Electricals Ltd.,BAJAJELEC.NS,BAJAJELEC
Sheela Foam Ltd.,SFL.NS,SFL
Aditya Birla Sun Life AMC Ltd.,ABSLAMC.NS,ABSLAMC
Birlasoft Ltd.,BSOFT.NS,BSOFT
DCM Shriram Ltd.,DCMSHRIRAM.NS,DCMSHRIRAM
Blue Dart Express Ltd.,BLUEDART.NS,BLUEDART
Welspun India Ltd.,WELSPUNIND.NS,WELSPUNIND
Glenmark Pharmaceuticals Ltd.,GLENMARK.NS,GLENMARK
Affle (India) Ltd.,AFFLE.NS,AFFLE
Exide Industries Ltd.,EXIDEIND.NS,EXIDEIND
Manappuram Finance Ltd.,MANAPPURAM.NS,MANAPPURAM
Motilal Oswal Financial Services Ltd.,MOTILALOFS.NS,MOTILALOFS
Apollo Tyres Ltd.,APOLLOTYRE.NS,APOLLOTYRE
TTK Prestige Ltd.,TTKPRESTIG.NS,TTKPRESTIG
Century Plyboards (India) Ltd.,CENTURYPLY.NS,CENTURYPLY
